review_id,query_id,intent,refusal_expected,query_text,required_fields,evidence_values,delivered_answer,reviewer_decision,reviewer_faithfulness,reviewer_usability,reviewer_notes
V33-HR-001,BQ02,archive_orientation,false,How is this page organized?,topology,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""Mexico"",""World War and public-information graphics"",""Advertisement""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, this archive view organizes source-linked records by topology, folders, surface type, and evidence fields.

EVIDENCE TAGS:
topology: sheet / main_sheet / Mexico / World War and public-information graphics / Advertisement | sheet / main_sheet / France / Travel and transport poster culture / Graphic design object record",pending,pending,pending,
V33-HR-002,BQ031,archive_orientation,false,How should I orient myself between Global / release gate expansion and Global / release gate expansion records in this archive?,topology,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""France"",""Travel and transport poster culture"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]} ; {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""Unresolved region"",""Modern typography and layout"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, the archive view is a comprehensive collection of visual and design records organized by geography and typography, managed by Wikimedia Commons and the Paganini archive. Specific rights states and image-state codes define its scope.

EVIDENCE TAGS:
topology: sheet / main_sheet / France / Travel and transport poster culture / Graphic design object record | sheet / main_sheet / Unresolved region / Modern typography and layout / Graphic design object record",pending,pending,pending,
V33-HR-003,BQ04,casual_archive_help,false,I am lost. What is the simplest next step from here?,topology,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""India"",""Midcentury modern graphic communication"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]} ; {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""Unresolved region"",""Modern typography and layout"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, the simplest next step is to access the unresolvable region folder.

EVIDENCE TAGS:
topology: sheet / main_sheet / India / Midcentury modern graphic communication / Graphic design object record | sheet / main_sheet / Unresolved region / Modern typography and layout / Graphic design object record",pending,pending,pending,
V33-HR-004,BQ046,casual_archive_help,false,I found SURF-GA1970R001; what is a simple next step?,topology,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""France"",""Midcentury modern graphic communication"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, this is a source-linked research archive for graphic design and visual communication records. It organizes records through folders/topology: France, Midcentury modern graphic communication, Graphic design object record, United States, Poster. Surface types in the packet: sheet. Publication roles in the packet: main_sheet, support_packet_appendix_text. Source families represented: Gallica / BnF APIs, Art Institute of Chicago API. Rights states represented: open_candidate, rights_review_required. Image-state codes represented: IMG03, IMG00.

EVIDENCE TAGS:
topology: sheet / main_sheet / France / Midcentury modern graphic communication / Graphic design object record | sheet / support_packet_appendix_text / United States / Midcentury modern graphic communication / Poster",pending,pending,pending,
V33-HR-005,BQ054,casual_archive_help,false,I found SURF-CRG2026R0071; what is a simple next step?,topology,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""Unresolved region"",""Modern typography and layout"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, this is a source-linked research archive for graphic design and visual communication records. It organizes records through folders/topology: Unresolved region, Modern typography and layout, Graphic design object record, United States, Midcentury modern graphic communication, Poster, France. Surface types in the packet: sheet. Publication roles in the packet: main_sheet, support_packet_appendix_text. Source families represented: Wikimedia Commons file source / The Soviet Union 1977 CPA 4695 stamp (Birth centenary of Felix Dzerzhinsky, 'Iron Felix', Bolshevik revolutionary and official, led Cheka and OGPU). png / page 102829467, Art Institute of Chicago API, Gallica / Bn

EVIDENCE TAGS:
topology: sheet / main_sheet / Unresolved region / Modern typography and layout / Graphic design object record | sheet / support_packet_appendix_text / United States / Midcentury modern graphic communication / Poster | sheet / main_sheet / France / Midcentury modern graphic communication / Graphic design object record",pending,pending,pending,
V33-HR-006,BQ058,current_object_explanation,false,Explain SURF-CRG2026R0274 using only source-linked evidence.,"record_id, title, date_text, region, source","record_id: SURF-CRG2026R0274
title: Sergey Filippov PSE Russia 2012.jpg
date_text: 1912
region: Global / release gate expansion
source: {""name"":""Wikimedia Commons file source / Sergey Filippov PSE Russia 2012.jpg / page 25675602"",""url"":""https://commons.wikimedia.org/wiki/File:Sergey_Filippov_PSE_Russia_2012.jpg"",""access_date"":""2026-06-06""}","Based on these records, Record 1 is the primary source.

EVIDENCE TAGS:
record_id: SURF-CRG2026R0274 | LAB-METHOD-CONTEXT-V0 | SURF-CHW2026R001
title: Sergey Filippov PSE Russia 2012.jpg | Browser-local RAG lab method context | Die Thierwelt (The Animal Kinggom)
date_text: 1912 | 2026-06-07 | ca. 1835
region: Global / release gate expansion | Research method | Austria Vienna Europe / Austria / Vienna / Europe
source: Wikimedia Commons file source / Sergey Filippov PSE Russia 2012.jpg / page 25675602 / https://commons.wikimedia.org/wiki/File:Sergey_Filippov_PSE_Russia_2012.jpg | browser-local-rag-lab method files / https://github.com/dpan538/browser-local-rag-lab | Cooper Hewitt Collection GraphQL API / https://collection.cooperhewitt.org/objects/18437221/",pending,pending,pending,
V33-HR-007,BQ060,current_object_explanation,false,Explain SURF-CGS2026R0328 using only source-linked evidence.,"record_id, title, date_text, region, source","record_id: SURF-CGS2026R0328
title: El restaurador de las leyes.jpg
date_text: 1840
region: Latin America / Argentina
source: {""name"":""Wikimedia Commons file source / El restaurador de las leyes.jpg / page 10603704"",""url"":""https://commons.wikimedia.org/wiki/File:El_restaurador_de_las_leyes.jpg"",""access_date"":""2026-06-06""}","Based on these records, Record 1 describes the restoration of laws in Latin America and Argentina.

EVIDENCE TAGS:
record_id: SURF-CGS2026R0328 | LAB-METHOD-CONTEXT-V0 | SURF-CHW2026R001
title: El restaurador de las leyes.jpg | Browser-local RAG lab method context | Die Thierwelt (The Animal Kinggom)
date_text: 1840 | 2026-06-07 | ca. 1835
region: Latin America / Argentina | Research method | Austria Vienna Europe / Austria / Vienna / Europe
source: Wikimedia Commons file source / El restaurador de las leyes.jpg / page 10603704 / https://commons.wikimedia.org/wiki/File:El_restaurador_de_las_leyes.jpg | browser-local-rag-lab method files / https://github.com/dpan538/browser-local-rag-lab | Cooper Hewitt Collection GraphQL API / https://collection.cooperhewitt.org/objects/18437221/",pending,pending,pending,
V33-HR-008,BQ061,current_object_explanation,false,Explain SURF-CGS2026R0030 using only source-linked evidence.,"record_id, title, date_text, region, source","record_id: SURF-CGS2026R0030
title: Stamp commemorating the centenary of the birth of José Manuel Estrada.jpg
date_text: 1842
region: Latin America / Argentina
source: {""name"":""Wikimedia Commons file source / Stamp commemorating the centenary of the birth of José Manuel Estrada.jpg / page 30060076"",""url"":""https://commons.wikimedia.org/wiki/File:Stamp_commemorating_the_centenary_of_the_birth_of_Jos%C3%A9_Manuel_Estrada.jpg"",""access_date"":""2026-06-06""}","Based on these records, Record 1 is the primary evidence.

EVIDENCE TAGS:
record_id: SURF-CGS2026R0030 | LAB-METHOD-CONTEXT-V0 | SURF-CHW2026R001
title: Stamp commemorating the centenary of the birth of José Manuel Estrada.jpg | Browser-local RAG lab method context | Die Thierwelt (The Animal Kinggom)
date_text: 1842 | 2026-06-07 | ca. 1835
region: Latin America / Argentina | Research method | Austria Vienna Europe / Austria / Vienna / Europe
source: Wikimedia Commons file source / Stamp commemorating the centenary of the birth of José Manuel Estrada.jpg / page 30060076 / https://commons.wikimedia.org/wiki/File:Stamp_commemorating_the_centenary_of_the_birth_of_Jos%C3%A9_Manuel_Estrada.jpg | browser-local-rag-lab method files / https://github.com/dpan538/browser-local-rag-lab | Cooper Hewitt Collection GraphQL API / https://collection.cooperhewitt.org/objects/18437221/",pending,pending,pending,
V33-HR-009,BQ064,current_object_explanation,false,Explain SURF-CGS2026R0031 using only source-linked evidence.,"record_id, title, date_text, region, source","record_id: SURF-CGS2026R0031
title: Facundo.jpg
date_text: 1845
region: Latin America / Argentina
source: {""name"":""Wikimedia Commons file source / Facundo.jpg / page 6629018"",""url"":""https://commons.wikimedia.org/wiki/File:Facundo.jpg"",""access_date"":""2026-06-06""}","Based on these records, Record 1 is located in Latin America/Argentina.

EVIDENCE TAGS:
record_id: SURF-CGS2026R0031 | LAB-METHOD-CONTEXT-V0 | SURF-CHW2026R001
title: Facundo.jpg | Browser-local RAG lab method context | Die Thierwelt (The Animal Kinggom)
date_text: 1845 | 2026-06-07 | ca. 1835
region: Latin America / Argentina | Research method | Austria Vienna Europe / Austria / Vienna / Europe
source: Wikimedia Commons file source / Facundo.jpg / page 6629018 / https://commons.wikimedia.org/wiki/File:Facundo.jpg | browser-local-rag-lab method files / https://github.com/dpan538/browser-local-rag-lab | Cooper Hewitt Collection GraphQL API / https://collection.cooperhewitt.org/objects/18437221/",pending,pending,pending,
V33-HR-010,BQ068,current_object_explanation,false,Explain SURF-CRG2026R0027 using only source-linked evidence.,"record_id, title, date_text, region, source","record_id: SURF-CRG2026R0027
title: HQ. FEAF, TOKYO-Col. John K. Arnold Jr. (right), Montgomery, Ala., is escorted by Col. Herbert R. Volin, Tokyo Air... - NARA - 542291.tif
date_text: 1863
region: East Asia / China
source: {""name"":""Wikimedia Commons file source / HQ. FEAF, TOKYO-Col. John K. Arnold Jr. (right), Montgomery, Ala., is escorted by Col. Herbert R. Volin, Tokyo Air... - NARA - 542291.tif / page 16525059"",""url"":""https://commons.wikimedia.org/wiki/File:HQ._FEAF,_TOKYO-Col._John_K._Arnold_Jr._(right),_Montgomery,_Ala.,_is_escorted_by_Col._Herbert_R._Volin,_Tokyo_Air..._-_NARA_-_542291.tif"",""access_date"":""2026-06-06""}","Based on these records, Record 1 is the primary evidence.

EVIDENCE TAGS:
record_id: SURF-CRG2026R0027 | LAB-METHOD-CONTEXT-V0 | SURF-CHW2026R001
title: HQ. FEAF, TOKYO-Col. John K. Arnold Jr. (right), Montgomery, Ala., is escorted by Col. Herbert R. Volin, Tokyo Air... - NARA - 542291.tif | Browser-local RAG lab method context | Die Thierwelt (The Animal Kinggom)
date_text: 1863 | 2026-06-07 | ca. 1835
region: East Asia / China | Research method | Austria Vienna Europe / Austria / Vienna / Europe
source: Wikimedia Commons file source / HQ. FEAF, TOKYO-Col. John K. Arnold Jr. (right), Montgomery, Ala., is escorted by Col. Herbert R. Volin, Tokyo Air... - NARA - 542291.tif / page 16525059 / https://commons.wikimedia.org/wiki/File:HQ._FEAF,_TOKYO-Col._John_K._Arnold_Jr._(right),_Montgomery,_Ala.,_is_escorted_by_Col._Herbert_R._Volin,_Tokyo_Air..._-_NARA_-_542291.tif | browser-local-rag-lab method files / https://github.com/dpan538/browser-local-rag-lab | Cooper Hewitt Collection GraphQL API / https://collection.cooperhewitt.org/objects/18437221/",pending,pending,pending,
V33-HR-011,BQ071,current_object_explanation,false,Explain SURF-ER1830R015 using only source-linked evidence.,"record_id, title, date_text, region, source","record_id: SURF-ER1830R015
title: Indian trading [6 illustrations: 1. trader's store; 2. 2 en route; 3. preparing for trade; 4. the trading post and fort; 5. return from trading; 6. dissatisfaction - (Indian beating his wife)]
date_text: 1876.
region: India
source: {""name"":""Library of Congress loc.gov API"",""url"":""https://www.loc.gov/pictures/item/99614267/"",""access_date"":""2026-05-30""}","Based on these records, Record 1 describes the Indian trading post and fort.

EVIDENCE TAGS:
record_id: SURF-ER1830R015 | LAB-METHOD-CONTEXT-V0 | SURF-CHW2026R001
title: Indian trading [6 illustrations: 1. trader's store; 2. 2 en route; 3. preparing for trade; 4. the trading post and fort; 5. return from trading; 6. dissatisfaction - (Indian beating his wife)] | Browser-local RAG lab method context | Die Thierwelt (The Animal Kinggom)
date_text: 1876. | 2026-06-07 | ca. 1835
region: India | Research method | Austria Vienna Europe / Austria / Vienna / Europe
source: Library of Congress loc.gov API / https://www.loc.gov/pictures/item/99614267/ | browser-local-rag-lab method files / https://github.com/dpan538/browser-local-rag-lab | Cooper Hewitt Collection GraphQL API / https://collection.cooperhewitt.org/objects/18437221/",pending,pending,pending,
V33-HR-012,BQ073,current_object_explanation,false,Explain SURF-ER1830R046 using only source-linked evidence.,"record_id, title, date_text, region, source","record_id: SURF-ER1830R046
title: Aristide Bruant
date_text: 1893
region: France
source: {""name"":""Art Institute of Chicago API"",""url"":""https://www.artic.edu/artworks/13598"",""access_date"":""2026-05-30""}","Based on these records, Record 1 is not the current object.

EVIDENCE TAGS:
record_id: SURF-ER1830R046 | LAB-METHOD-CONTEXT-V0 | SURF-CHW2026R001
title: Aristide Bruant | Browser-local RAG lab method context | Die Thierwelt (The Animal Kinggom)
date_text: 1893 | 2026-06-07 | ca. 1835
region: France | Research method | Austria Vienna Europe / Austria / Vienna / Europe
source: Art Institute of Chicago API / https://www.artic.edu/artworks/13598 | browser-local-rag-lab method files / https://github.com/dpan538/browser-local-rag-lab | Cooper Hewitt Collection GraphQL API / https://collection.cooperhewitt.org/objects/18437221/",pending,pending,pending,
V33-HR-013,BQ075,current_object_explanation,false,Explain SURF-ER1830R059 using only source-linked evidence.,"record_id, title, date_text, region, source","record_id: SURF-ER1830R059
title: Sculptress
date_text: 1897
region: France, 19th century
source: {""name"":""Cleveland Museum Open Access API"",""url"":""https://clevelandart.org/art/1986.136"",""access_date"":""2026-05-30""}","Based on these records, Sculptress is the current object.

EVIDENCE TAGS:
record_id: SURF-ER1830R059 | LAB-METHOD-CONTEXT-V0 | SURF-CHW2026R001
title: Sculptress | Browser-local RAG lab method context | Die Thierwelt (The Animal Kinggom)
date_text: 1897 | 2026-06-07 | ca. 1835
region: France, 19th century | Research method | Austria Vienna Europe / Austria / Vienna / Europe
source: Cleveland Museum Open Access API / https://clevelandart.org/art/1986.136 | browser-local-rag-lab method files / https://github.com/dpan538/browser-local-rag-lab | Cooper Hewitt Collection GraphQL API / https://collection.cooperhewitt.org/objects/18437221/",pending,pending,pending,
V33-HR-014,BQ078,current_object_explanation,false,Explain SURF-ER1830R064 using only source-linked evidence.,"record_id, title, date_text, region, source","record_id: SURF-ER1830R064
title: Tell that to the Marines!
date_text: 1914/18
region: United States
source: {""name"":""Art Institute of Chicago API"",""url"":""https://www.artic.edu/artworks/7772"",""access_date"":""2026-05-30""}","Based on these records, Record 1 is the primary source for this object.

EVIDENCE TAGS:
record_id: SURF-ER1830R064 | LAB-METHOD-CONTEXT-V0 | SURF-CHW2026R001
title: Tell that to the Marines! | Browser-local RAG lab method context | Die Thierwelt (The Animal Kinggom)
date_text: 1914/18 | 2026-06-07 | ca. 1835
region: United States | Research method | Austria Vienna Europe / Austria / Vienna / Europe
source: Art Institute of Chicago API / https://www.artic.edu/artworks/7772 | browser-local-rag-lab method files / https://github.com/dpan538/browser-local-rag-lab | Cooper Hewitt Collection GraphQL API / https://collection.cooperhewitt.org/objects/18437221/",pending,pending,pending,
