query_id,intent,gold_total_ms,top3_total_ms,top8_total_ms,top8_vs_gold,top8_prompt_tokens,top8_output_tokens,top8_tokens_per_second,recommendation
BQ01,archive_orientation,4883.8,7961.5,5678.2,1.16,409,98,22.93,Monitor; no immediate packet change.
BQ02,archive_orientation,4060.7,8061.6,7778.9,1.92,697,126,23.98,Monitor; no immediate packet change.
BQ03,archive_orientation,4933.5,8157.9,9162.2,1.86,465,96,24.42,Monitor; no immediate packet change.
BQ04,casual_archive_help,5115.3,7286,10052,1.97,405,92,24.33,Monitor; no immediate packet change.
BQ05,current_object_explanation,6446.2,12250.5,36608.9,5.68,1723,49,4.11,Prefer gold-only or top3; top8 adds latency without a contract benefit.
BQ06,current_object_explanation,5861.7,10185.1,24005.4,4.1,527,85,9.74,Prefer gold-only or top3; top8 adds latency without a contract benefit.
BQ07,current_object_explanation,6432,12456.9,47722.6,7.42,1724,37,3.54,Prefer gold-only or top3; top8 adds latency without a contract benefit.
BQ08,source_rights_question,7371.9,8927.7,17737.4,2.41,360,49,6.87,Monitor; no immediate packet change.
BQ09,first_earliest_claim,1003,969.2,1998.7,1.99,107,10,18.91,Monitor; no immediate packet change.
BQ10,first_earliest_claim,1000.9,969.3,1927.7,1.93,104,10,20.66,Monitor; no immediate packet change.
BQ11,first_earliest_claim,999.3,967.6,1898.8,1.9,105,10,18.32,Monitor; no immediate packet change.
BQ12,comparison,10020.6,11128.5,20808.3,2.08,601,80,12.16,Keep only the two comparison records plus required source fields.
BQ13,comparison,8130.1,11181.4,16652.4,2.05,628,70,12.15,Keep only the two comparison records plus required source fields.
BQ14,region_period_recommendation,9307.2,10874.8,34766.5,3.74,1888,81,10.16,Use route-specific top3 records and suppress extra topology spillover.
BQ15,region_period_recommendation,722.3,735,1384.1,1.92,106,10,30.02,Use route-specific top3 records and suppress extra topology spillover.
BQ16,region_period_recommendation,9786,9783.4,42943.3,4.39,2482,83,8.85,Use route-specific top3 records and suppress extra topology spillover.
BQ17,region_period_recommendation,725.5,713.2,1413.1,1.95,104,10,28.7,Use route-specific top3 records and suppress extra topology spillover.
BQ18,region_period_recommendation,729,727.2,1483.8,2.04,107,10,28.91,Use route-specific top3 records and suppress extra topology spillover.
BQ19,source_rights_question,6291,6273.4,12739.2,2.02,352,49,9.6,Monitor; no immediate packet change.
BQ20,source_rights_question,6335.7,6334.1,12320.8,1.94,357,49,10.08,Monitor; no immediate packet change.
BQ21,source_rights_question,6236.5,6314.1,12757,2.05,359,49,9.59,Monitor; no immediate packet change.
BQ22,source_rights_question,6155.1,6256.4,12729.8,2.07,356,49,9.56,Monitor; no immediate packet change.
BQ23,method_process_question,5101.7,5089.8,11138.4,2.18,454,103,20.19,Monitor; no immediate packet change.
BQ24,method_process_question,5509,5529.5,11991.9,2.18,455,94,21.26,Monitor; no immediate packet change.
BQ25,more_context,11374.7,11362.2,44966.1,3.95,2901,69,7.17,Use adaptive top3 or a precompressed context skeleton; avoid default top8.
