query_id,intent,gold_lane,variant_id,top_k,candidate_count,retrieval_ms,prompt_tokens_est,gold_evidence_ids,retrieved_ids,sufficient_context,refusal_expected,refusal_gate_available,empty_retrieval_correct,evidence_covered,required_fields_present,sufficient_packet,review_state
"BQ01","archive_orientation","help","top1_compressed_topology_source_rights","1","1","0.752","460","SURF-ER1830R004|SURF-ER1830R015","LAB-METHOD-CONTEXT-V0","true","false","false","true","false","true","false","stable_rule_reviewed"
"BQ01","archive_orientation","help","top3_compressed_topology_source_rights","3","1","0.104","460","SURF-ER1830R004|SURF-ER1830R015","LAB-METHOD-CONTEXT-V0","true","false","false","true","false","true","false","stable_rule_reviewed"
"BQ01","archive_orientation","help","top8_compressed_topology_source_rights","8","1","0.092","460","SURF-ER1830R004|SURF-ER1830R015","LAB-METHOD-CONTEXT-V0","true","false","false","true","false","true","false","stable_rule_reviewed"
"BQ01","archive_orientation","help","top3_raw_topology_source_rights","3","1","0.088","460","SURF-ER1830R004|SURF-ER1830R015","LAB-METHOD-CONTEXT-V0","true","false","false","true","false","true","false","stable_rule_reviewed"
"BQ01","archive_orientation","help","top3_compressed_no_topology_source_rights","3","1","0.087","421","SURF-ER1830R004|SURF-ER1830R015","LAB-METHOD-CONTEXT-V0","true","false","false","true","false","false","false","stable_rule_reviewed"
"BQ01","archive_orientation","help","top3_compressed_topology_no_source_rights","3","1","0.092","340","SURF-ER1830R004|SURF-ER1830R015","LAB-METHOD-CONTEXT-V0","true","false","false","true","false","true","false","stable_rule_reviewed"
"BQ02","archive_orientation","help","top1_compressed_topology_source_rights","1","1","0.36","549","SURF-CGS2026R0909|SURF-CGS2026R0910","SURF-CGS2026R0909","true","false","false","true","false","true","false","stable_rule_reviewed"
"BQ02","archive_orientation","help","top3_compressed_topology_source_rights","3","3","0.135","1579","SURF-CGS2026R0909|SURF-CGS2026R0910","SURF-CGS2026R0909|SURF-CGS2026R0910|SURF-CRG2026R0001","true","false","false","true","true","true","true","stable_rule_reviewed"
"BQ02","archive_orientation","help","top8_compressed_topology_source_rights","8","8","0.122","3722","SURF-CGS2026R0909|SURF-CGS2026R0910","SURF-CGS2026R0909|SURF-CGS2026R0910|SURF-CRG2026R0001|SURF-CRG2026R0002|SURF-CRG2026R0003|SURF-CRG2026R0004|SURF-CGS2026R0681|SURF-CGS2026R0328","true","false","false","true","true","true","true","stable_rule_reviewed"
"BQ02","archive_orientation","help","top3_raw_topology_source_rights","3","3","0.115","2779","SURF-CGS2026R0909|SURF-CGS2026R0910","SURF-CGS2026R0909|SURF-CGS2026R0910|SURF-CRG2026R0001","true","false","false","true","true","true","true","stable_rule_reviewed"
"BQ02","archive_orientation","help","top3_compressed_no_topology_source_rights","3","3","0.108","1405","SURF-CGS2026R0909|SURF-CGS2026R0910","SURF-CGS2026R0909|SURF-CGS2026R0910|SURF-CRG2026R0001","true","false","false","true","true","false","false","stable_rule_reviewed"
"BQ02","archive_orientation","help","top3_compressed_topology_no_source_rights","3","3","0.103","1011","SURF-CGS2026R0909|SURF-CGS2026R0910","SURF-CGS2026R0909|SURF-CGS2026R0910|SURF-CRG2026R0001","true","false","false","true","true","true","true","stable_rule_reviewed"
"BQ03","archive_orientation","help","top1_compressed_topology_source_rights","1","1","0.164","450","SURF-CGS2026R0908|SURF-CRG2026R0005","SURF-CRG2026R0005","true","false","false","true","false","true","false","stable_rule_reviewed"
"BQ03","archive_orientation","help","top3_compressed_topology_source_rights","3","3","0.165","1424","SURF-CGS2026R0908|SURF-CRG2026R0005","SURF-CRG2026R0005|SURF-CGS2026R0908|LAB-METHOD-CONTEXT-V0","true","false","false","true","true","true","true","stable_rule_reviewed"
"BQ03","archive_orientation","help","top8_compressed_topology_source_rights","8","3","0.167","1424","SURF-CGS2026R0908|SURF-CRG2026R0005","SURF-CRG2026R0005|SURF-CGS2026R0908|LAB-METHOD-CONTEXT-V0","true","false","false","true","true","true","true","stable_rule_reviewed"
