query_id,intent,lane,deterministic,latency_bucket,hybrid_lane,refusal_expected,candidate_count,prompt_tokens_est,ttft_ms,total_latency_ms,output_tokens,tokens_per_second,evidence_chars,slow_reason,recommendation
BQ04,casual_archive_help,help,false,qwen_generation_latency,,false,2,405,2748.300000190735,20602.5,91,5.0968399592797295,7213,total_latency_tail+low_decode_speed,Monitor under current prompt budget.
BQ01,archive_orientation,help,false,qwen_generation_latency,,false,3,409,4307.800000190735,17257.39999961853,108,8.340025947115912,8191,total_latency_tail+long_output,Monitor under current prompt budget.
BQ03,archive_orientation,help,false,qwen_generation_latency,,false,3,465,1908.2999992370605,16951.099999427795,94,6.248836652671586,9539,total_latency_tail+low_decode_speed+large_evidence_text,Monitor under current prompt budget.
BQ26,more_context,research_answer,false,qwen_generation_latency,,false,3,1223,6660.800000190735,16205.89999961853,78,8.171732093396182,11715,total_latency_tail+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ25,more_context,research_answer,false,qwen_generation_latency,,false,3,1223,6529.89999961853,15633.5,69,7.579419130575672,11715,total_latency_tail+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ16,region_period_recommendation,research_answer,false,qwen_generation_latency,,false,3,918,4989.800000190735,13842.699999809265,78,8.81067220948627,11038,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ05,current_object_explanation,fast_answer,false,qwen_generation_latency,,false,3,705,4454.800000190735,13659.900000572205,118,12.818980781861137,8831,total_latency_tail+long_output,Prefer one primary object and move evidence tags before prose.
BQ07,current_object_explanation,fast_answer,false,qwen_generation_latency,,false,3,773,4761.10000038147,12912.70000076294,47,5.7657392411061075,9695,total_latency_tail+low_decode_speed+large_evidence_text,Prefer one primary object and move evidence tags before prose.
BQ14,region_period_recommendation,research_answer,false,qwen_generation_latency,,false,3,728,4485,12590.39999961853,71,8.759592370930678,8045,total_latency_tail,Use route-specific field summaries and length control.
BQ13,comparison,research_answer,false,qwen_generation_latency,,false,2,628,3373.5,11210.300000190735,74,9.442629644523143,7285,total_latency_tail,Keep two comparison records plus exact evidence tags; avoid spillover.
BQ12,comparison,research_answer,false,qwen_generation_latency,,false,2,601,3335.300000190735,11154.5,55,7.033967669498366,7285,total_latency_tail,Keep two comparison records plus exact evidence tags; avoid spillover.
BQ06,current_object_explanation,fast_answer,false,qwen_generation_latency,,false,2,527,2303.5,10293.79999923706,59,7.383953043769759,4234,total_latency_tail,Prefer one primary object and move evidence tags before prose.
BQ032,archive_orientation,help,false,qwen_generation_latency,,false,3,498,1865.3999996185303,10220.39999961853,123,14.721723518850986,11003,total_latency_tail+long_output+large_evidence_text,Monitor under current prompt budget.
