query_id,intent,lane,candidate_count,prompt_tokens_est,output_tokens,ttft_ms,total_latency_ms,tokens_per_second,p003_generation_speed_low
BQ01,archive_orientation,help,2,371,84,1294.7000002861023,4883.800000190735,23.40419603862584,0
BQ02,archive_orientation,help,2,414,59,1540,4060.699999809265,23.406196693166333,0
BQ03,archive_orientation,help,2,426,85,1336.1000003814697,4933.5,23.628175907325687,0
BQ04,casual_archive_help,help,2,405,90,1249,5115.299999713898,23.278069473827667,0
BQ05,current_object_explanation,fast_answer,1,318,54,1337.4000000953674,6446.200000286102,10.56999686775445,0
BQ06,current_object_explanation,fast_answer,1,331,52,1320.4000000953674,5861.700000286102,11.450465725192345,0
BQ07,current_object_explanation,fast_answer,1,319,54,1326.4000000953674,6432,10.576621748865689,0
BQ08,source_rights_question,source_rights,1,360,49,1291.2999997138977,7371.89999961853,8.05841528809139,1
BQ09,first_earliest_claim,refusal_more_context,0,107,10,501.5,1003,19.940179461615156,0
BQ10,first_earliest_claim,refusal_more_context,0,104,10,500.30000019073486,1000.9000000953674,19.97602876928698,0
BQ11,first_earliest_claim,refusal_more_context,0,105,10,504,999.2999997138977,20.18978398097384,0
BQ12,comparison,research_answer,2,601,83,3370.7000002861023,10020.60000038147,12.481390697425477,0
BQ13,comparison,research_answer,2,628,102,2555.2000002861023,8130.10000038147,18.29629230986298,0
BQ14,region_period_recommendation,research_answer,3,728,69,3366.800000190735,9307.199999809265,11.615379436474129,0
BQ15,region_period_recommendation,refusal_more_context,0,106,10,372,722.2999997138977,28.54695977210206,0
BQ16,region_period_recommendation,research_answer,3,918,74,3687.9000000953674,9786,12.134927272618894,0
BQ17,region_period_recommendation,refusal_more_context,0,104,10,370,725.5,28.129395218002813,0
BQ18,region_period_recommendation,refusal_more_context,0,107,10,383.59999990463257,729,28.951939771971418,0
BQ19,source_rights_question,source_rights,1,352,49,1244.6000003814697,6291,9.709892201114464,0
BQ20,source_rights_question,source_rights,1,357,49,1283.9000000953674,6335.700000286102,9.699513044489086,0
BQ21,source_rights_question,source_rights,1,359,49,1265.5999999046326,6236.5,9.85736989258684,0
BQ22,source_rights_question,source_rights,1,356,49,1246.9000000953674,6155.099999904633,9.983293264721112,0
BQ23,method_process_question,research_answer,1,454,78,1248.5999999046326,5101.699999809265,20.24344034723484,0
BQ24,method_process_question,research_answer,1,455,89,1308.5,5509,21.187953815022023,0
BQ25,more_context,research_answer,3,1223,78,4840,11374.699999809265,11.93627863593993,0
BQ26,more_context,research_answer,3,1223,63,4843.599999904633,11410.200000286102,9.594006029960738,0
